sentence,id,processed_sentences,cluster_label
"Oh, I\'ve been writing the numbers just cuz I wasn\'t sure what to do",105353_0,writing numbers cuz,64
" No, I totally agree",105374_1,totally agree,24
"I - I agree, I think it\'s a nice - it\'s a nice design feature",105376_0,agree nice nice design feature,0
"""zero"",  they say ""O_"", and sometimes they say ""zero"", but - And  I  thought",105392_0,thought,4
That\'s what I thought too,105399_0,thought,4
"But we converted  them   to  this  format, and then the idea - I mean, you could conceivably put an ""O_H"" or a ""zero"" for the ""O_\'s"" and still have this benefit, but I think that the idea is that people can choose what they think is most natural for them to say in those - those locations, and - you know, maybe there\'d be -",105420_0,converted format idea conceivably benefit idea people choose natural locations,29
" Oh, can I ask also? Um, it says - it looks like the groupings are important, but some of the transcripts I\'ve seen they don\'t have any commas or breaks, it\'s just a string of numbers",105429_0,groupings transcripts commas breaks string numbers,0
"But in the transcriptions - I mean, we don\'t have to deal with that because when",105441_0,transcriptions deal,16
the other interface deals with it then they break it up or whatever,105443_0,interface deals break,0
Though the one I\'m working on now is like that,105447_0,working,2
"uh, the interface that  these  guys used, uh, allows you to set the time boundaries really accurately, so it\'s not so important",105454_0,uh interface guys uh set time boundaries accurately,10
" It\'s more important to focus on the words, because there we don\'t know the ground truth",105454_1,focus ground truth,0
" Think of the groupings as similar to groupings in telephone numbers, social security number",105478_2,groupings groupings telephone numbers social security number,0
 I couldn\'t listen to everybody else,105550_1,listen,21
"O_K, well, I wanna thank you very much, and um, look f- and so we\'ll meet next week at the same time, u- unless - I mean, I g- I need to check on the schedule but I think, um,",105570_0,wan meet week time check schedule,37
"Yeah, well, I  think  so",105596_0,yeah,3
I think it\'ll be  interesting,105601_0,interesting,0
I think it\'s terrific,105604_0,terrific,0
" You get to see the - the web interface and you listen to things, and - Yeah",105612_1,web interface listen things yeah,21
So I\'ll - I guess I\'ll keep the agenda,105623_0,guess agenda,0
It\'s not as tight as I might have liked it but I just wanted to throw out as many ideas as I - as I could,105629_0,tight wanted throw ideas,38
I\'ll just try  and   be extra aware during the next week and like  note some things down ,105631_0,extra aware week note things,58
 If you happen to think of some particular s- startling  changes  that you came across,105634_1,happen startling,0
  I\'ve run across - I\'m gonna - I think maybe I\'ll bring in some examples that  I\'ve  run across that were surprising,105634_2,bring examples surprising,0
They were putting it in terms that had to do with  finance,105640_0,putting terms finance,0
"Yeah, I would start saying something and then feel very like out in the open, like ""Wow, everybody\'s listening to me",105702_0,yeah start feel open wow listening,44
I think you did well,105705_0,,0
"I woke up twenty minutes ago, thinking,",105716_0,woke minutes ago thinking,6
forthcoming travel plans ,105724_0,forthcoming travel plans,55
You\'ll see maybe - see the fireworks from your plane coming in,105754_0,fireworks plane coming,0
And I\'m sure all the - the people at the airport will be  happy  to work on that day,105755_0,people airport happy work day,67
" Well then the - you know, it\'s not a big deal",105761_1,big deal,16
"is planning to come here either three weeks in July or three weeks in  August, ",105770_0,planning weeks july weeks august,30
to actually  work,105771_0,work,1
been known to complain about the fact that the stuff we do here is not weird enough,105781_0,complain fact stuff weird,62
that we want it to do,105790_0,,0
you should also be able to make that same system  ask ,105801_0,,0
what we can do is have the system ask,105823_0,,0
"ask something else,",105828_0,,0
"um, asking each  other",105832_0,,0
if that works,105856_0,works,5
And he would like to actually  work  on that,105857_0,work,1
I just don\'t think -,105866_0,,0
I think we\'re probably a year away from getting the system to  understand  things,105867_0,year understand things,33
"we can also, maybe, e- make it  say,  or  ask ",105871_0,,0
I think it\'d be,105886_0,,0
"eee, I think even - think even -",105893_0,,0
"O_K, now we change  nothing,  and just say  ask  something",105898_0,change,0
What would it ask?,105901_0,,0
It wouldn\'t know  what  to ask,105902_0,,0
"If you just ask, what is the likelihood of that person wanting to  enter  some - something, it\'ll  give  you an  answer",105925_0,likelihood person wanting enter answer,0
what\'s the th- what is it - what is that user most likely to want to do?,105933_0,user,0
"Well you can observe some user and  context  stuff and ask, what\'s the",105935_0,observe user context stuff,62
"And that is exactly what would  happen  if we ask it to  produce  an utterance, it would be b- based on that extension,   ex nihilo,   which we don\'t know what it  is,  but it\'s  there",105951_0,happen produce utterance based extension nihilo,0
"Well that was - that was absurdly low, in the last meeting,  cuz I went and looked at it cuz I was thinking, that could not be right, and it would - it was on the order of",105965_0,absurdly low meeting cuz looked cuz thinking order,64
"Bhaskara said, we had calculated out and Bhaskara believes that it\'s larger than the number of particles in the universe",105983_0,bhaskara calculated bhaskara believes larger number particles universe,0
"Well, two to the thirty is a billion, but if we have to do it two to the twenty times,",105989_0,thirty billion times,0
"If it takes us a  second  to do, for each  one,  and let\'s say it\'s twenty billion, ",106010_0,takes billion,0
Which probabilistically will be good enough,106020_0,probabilistically good,8
 I\'ll ask Eva about the E_Bayes and she\'s working on that,106041_1,eva bayes working,2
I\'m gonna work on that today and tomorrow,106044_0,work today tomorrow,41
 No need to do it today or  tomorrow  even,106045_1,today tomorrow,41
"where I work for a while and then I\'m like,",106050_0,work,1
"So I go home, and then I think -",106052_0,,0
"Either that or I think to myself, I can work at  home",106055_0,work,1
"  And then I  try  to work at home, but I fail miserably",106055_1,work fail miserably,1
"I think - we think we\'ll see him definitely on  Tuesday  for the next - Or, no, wait",106071_0,tuesday wait,0
I was  thinking  about that,106083_0,thinking,6
 I think,106083_1,,0
I will try to work on the SmartKom stuff ,106084_0,work smartkom stuff,62
if you work on it?,106086_0,work,1
I don\'t have a problem with us working on it though? So,106087_0,problem working,68
"So it seems pretty interdisciplinary, and I mean, w- w- the keynote speaker is Tomasello and blah-blah-blah, so,",106117_0,pretty interdisciplinary keynote speaker tomasello blah blah blah,65
 Might  be more interesting to do something like,106127_0,interesting,0
Oh! Which Johno mentioned to me,106184_0,johno mentioned,39
" the  keynote speakers are Tomasello,  MacWhinney?   We- MacWhinney, I think",106209_0,keynote speakers tomasello macwhinney macwhinney,0
" And one - one from  your  perspective, and one from  our  peve- per- per-",106238_2,perspective peve,0
And good to do at some point anyway,106245_0,good point,54
"Well, I - I also think that if we sort of",106248_0,sort,19
"And um, we should all do more for our publication lists",106259_0,publication lists,0
"you know, the details of how to do it, or whether to do it, or what it would be?",106271_0,details,0
"Because I mean, it - I don\'t like papers where you just talk about what you  plan  to do",106275_0,papers talk plan,20
"But uh, we - we can tell them what we think",106282_0,uh,10
" Oh, I thought you were - I thought we were talking about something which was much",106303_1,thought thought talking,4
Not including figures and such?,106317_0,including figures,0
"Let\'s - let\'s - wh- wh- what should we - should - should we uh, um, discuss this over tea and all of us look at the web? Oh, I can\'t",106331_0,wh wh uh discuss tea web,40
He - he decided  I\'m  chilling   in the five-one-O_,106345_0,decided chilling,48
 I should mention  that  for you,106359_1,mention,0
don\'t make any plans for spring break next year,106382_0,plans spring break year,55
 We\'re gonna do an int- E_D_U internal workshop in Sicily,106386_1,int internal workshop sicily,0
"So, but we have to decide what, like, sort of the general idea of -",106418_0,decide sort general idea,29
"No, y- I don\'t think you got it",106435_0,,0
" See this, if you- if you\'re not around, and don\'t partake in the discussions, and you don\'t get any email,  and",106436_0,partake discussions email,0
"So i- so this paper wouldn\'t particularly deal with  that  side although it could reference the N_T_L-ish sort of, like, um, approach",106462_0,paper deal reference ish sort approach,16
it\'s definitely possible to do it,106471_0,,0
"explain in detail what was going on in the X_M_L cases or whatever you just sorta said well, you know, here\'s the general idea, some stuff gets put in there",106476_0,explain cases sorta general idea stuff,29
or  ask  about the bits that are,106488_0,bits,0
"So this will be sort of documenting what we think, and documenting what we have in terms of the Bayes-net",106490_0,sort documenting documenting terms bayes net,19
"And since there\'s never a bad idea to document things, no?",106494_0,bad idea document things,29
I think so,106499_0,,0
Think about it,106501_0,,0
"Yeah, you might get blacklisted",106504_0,yeah blacklisted,3
"Have we made any progress on what we decided, uh, last week?",106509_0,progress decided uh week,48
"We decided t- that we\'re gonna take a ""where is something"" question, and pretend we have parsed it, and see what we could possibly hope to observe on the discourse side",106513_0,decided question pretend parsed hope observe discourse,48
"Remember I came in and I started asking you about how we were sor- going to sort out the uh, decision nodes?",106514_0,remember started sor sort uh decision nodes,19
"Well, there was like we needed to - or uh, in my opinion we need to design a Bayes - another sub-Bayes-net -",106521_0,needed uh opinion design bayes bayes net,10
"  I didn\'t really listen to it, I was too young",106570_1,listen young,21
I can\'t believe that that\'s never been  thought  of before,106580_0,thought,4
"I think so, yeah",106605_0,yeah,3
 She\'s a new linguist working for E_M_L,106635_1,linguist working,2
And what  she  would like to do for example is  great  for us,106637_0,great,0
 we have discussed in terms of the EVA - uh - ,106640_0,discussed terms eva uh,10
"Think of - back at the EVA vector,",106644_0,eva vector,0
"and Johno coming up with the idea that if the person  discussed   the - discussed the admission fee, in - eh previously, that might be a good indication that,",106645_0,johno coming idea person discussed discussed admission fee eh good indication,29
"discussing the admission fee in the previous utterance, is a good indication",106649_0,discussing admission fee previous utterance good indication,8
to decide what to  do  with it,106695_0,decide,28
"So, we may think that if you say",106701_0,,0
"other things and then decide, rather than the other possibility which is that  all through discourse as they talk about different things - You know like w-",106724_0,things decide possibility discourse talk things,33
" ""where is the closest theater"" - The - the - the point is that by mentioning  admission  fees, that just sort of stays active now",106726_0,closest theater point mentioning admission fees sort stays active,54
"over in your Bayes-net or whatever, when - when the person says ""where is it"", you\'ve already got, you know since they were talking about  admission,  and  that  evokes the idea of  entering,  um, then when they go and ask ""where is it"", then you\'re Enter node is already active because that\'s what the person is  thinking  about",106731_0,bayes net person talking admission evokes idea entering enter node active person thinking,29
 I think that\'s - that\'s the correct way,106734_1,correct,0
"I mean we can  idealize  that, you know, people don\'t change topics,",106739_0,idealize people change topics,56
" So these are issues but we - what we actually decided last  week,  is to,",106754_2,issues decided week,48
"um, what - what we think the - the output",106761_0,output,0
What did we decide,106785_0,decide,28
 We decided sort of the -,106785_1,decided sort,48
"to activate that  node  or not, you know, that\'s - that\'s sort of the issue that sort of the linguistic-y side has to deal with, right?",106805_0,activate node sort issue sort linguistic deal,19
"we find from the  data,  is  always  just asked when the person wants to  know  where it is,",106849_0,data asked person,46
"and ""how do I get to"" is always asked when the person",106850_0,asked person,23
or asked for?,106893_0,asked,23
Thoughts?,106921_0,thoughts,0
I\'m thinking about it,106923_0,thinking,6
 So I think,106924_1,,0
I kinda like it better  without that  extra level of indirection too,106944_0,kinda extra level indirection,0
" You know with - with this points to this points to that, and so on because  I don\'t know, it -",106944_1,points points,57
"Yeah, because we get - we get  tons  of constructions I think",106945_0,yeah tons constructions,3
"you know, mmm people have many ways of asking for the same  thing,  and -",106948_0,mm people ways thing,11
So I agree with that,106954_0,agree,24
"U- that\'s exactly r- um, why I\'m proposing - It\'s too early to have - to  think  of them - of  all  of these",107002_0,proposing early,0
"human beings are not allowed to ask anything but ""where is X_""",107008_0,human beings allowed,0
"So, you  could  say that the s- construction is a question asking about this location,",107038_0,construction question location,0
"and then you can  additionally  infer, if they\'re asking about the location, it\'s because they wanna  go  to that place,",107039_0,additionally infer location wan place,37
"So it\'s like you infer the speaker intent, and then infer a plan, a larger plan from that, for which you have the additional information, you\'re just being extra helpful",107048_0,infer speaker intent infer plan larger plan additional extra helpful,20
"Think - Uh, well this is just a  mental  exercise",107052_0,uh mental exercise,10
" If you think about,",107052_1,,0
"do you feel confident about saying this is  part  of the  language   already  to - to  detect  those plans, and why would anyone care about location, if not, you know",107057_0,feel confident language detect plans care location,55
"But this is the sort of thing, I - I  propose  that we  think  about,",107074_0,sort thing propose,19
If - if we ask it where is something,107096_0,,0
"enables you to think about certain things more specifically,",107098_0,enables things,33
I suggest there it  is,107105_0,,0
" And some stuff that\'s as - that\'s absolutely straightforward in the vacuum,",107137_1,stuff absolutely straightforward vacuum,62
"Yeah, a-  probably  not the right way to do it actually",107200_0,yeah,3
But you can listen to -,107201_0,listen,21
a- y- y- y- You can listen to  all  of them from your Solaris box,107202_0,listen solaris box,21
"So you think we\'re going now, yes?",107215_0,,0
Uh - so here\'s what I have for - I - I was just jotting down things I think th- w- that we should do today,107381_0,uh jotting things today,41
Uh - This is what I have for an agenda so far,107382_0,uh agenda,10
We should talk a little bit about the plans for the uh -,107384_0,talk bit plans uh,55
"talk about that,  a r- progress report",107397_0,talk progress report,53
Another topic I had was that uh - uh -,107401_0,topic uh uh,7
"Dave here had uh said uh ""Give me something to do",107403_0,dave uh uh,7
And so maybe we can discuss that a little bit,107405_0,discuss bit,40
serious comment from that corner,107410_0,comment corner,0
resource issues that - that\'s starting to get worked out,107414_0,resource issues starting worked,51
isn\'t in that list?,107417_0,list,35
"I was just wondering, does this mean the battery\'s dying and I should change it?",107419_0,wondering battery dying change,36
I think that means the battery\'s O_ K,107421_0,battery,0
kind of  my  bright idea to have us take a plane that leaves at seven twenty in the morning,107439_0,kind bright idea plane leaves morning,29
we need to do that to get there on time,107466_0,time,17
plane - it\'ll just - yeah,107491_0,plane yeah,3
"O_K, that was the real real important stuff",107526_0,real real stuff,62
"Well, preparation of the French test data actually",107534_0,preparation french test data,46
 I\'m preparing the - the H_T_K baseline for this task,107547_1,preparing baseline task,47
"And again, I guess the p- the plan is, uh,",107556_0,guess plan uh,20
What\'s the plan again? ,107559_0,plan,20
The plan with  these data?,107560_0,plan data,20
With - So - So - Does i- Just remind me of what - what you were going to do,107561_0,remind,0
" Well, what we want to do is",107580_0,,0
first we have number for each  uh task,107581_0,number uh task,47
"T_I-digit task, the Italian task, the French task  and the Finnish task",107583_0,digit task italian task french task finnish task,47
neural networks trained on the task data,107587_0,neural networks trained task data,52
"And then to have systems with neural networks trained on,",107588_0,systems neural networks trained,52
"Uh, i- i- I - I guess the question is how important is it to - for us to get multiple languages",107656_0,uh guess question multiple languages,0
So that\'s what you\'re thinking of using is sort of the multi- the equivalent of the multiple?,107667_0,thinking sort multi equivalent multiple,19
"Yeah, for the multilingual part we were thinking of using these three databases",107669_0,yeah multilingual thinking databases,6
"O_K, so anyway, th- the basic plan is to, uh, test this cube",107687_0,basic plan uh test cube,20
"We were thinking that perhaps the cross-language issue is not, uh, so big of a issue",107695_0,thinking cross language issue uh big issue,6
Perhaps the most important is to have neural networks trained on the target languages,107699_0,neural networks trained target languages,52
the - what they\'re asking for is - is a feature set,107708_0,feature set,0
"But if we say, ""No, you have to have a different feature set for each language,"" I think this is ver- gonna be very bad",107713_0,feature set language ver bad,0
You think so,107715_0,,0
"where the, uh, uh, probabilistic part, and - and s- semantics and so forth are all on the servers,",107747_0,uh uh probabilistic semantics servers,7
" We might - might or might not agree that that\'s the way it will be in ten years, but",107749_1,agree years,24
that\'s - that\'s - that\'s what they\'re asking for,107750_0,,0
So - so I think,107751_0,,0
that - th- th- it is an important issue whether it works cross-language,107752_0,issue works cross language,5
"Now, it\'s the O_G_I, uh, folks\' perspective right now that probably that\'s not the biggest deal",107753_0,uh folks perspective biggest deal,16
"And that the biggest deal is the, um",107754_0,biggest deal,16
"Yeah, so I don\'t th- I know - unfortunately I don\'t - I see what you\'re comi- where you\'re coming from, I think, but I don\'t think we can ignore it",107767_0,yeah comi coming ignore,3
So we - we really have to do test with a real cross-language,107768_0,test real cross language,0
"uh, as I was saying, I think it doesn\'t fit within their image that you switch nets based on language",107775_0,uh fit image switch nets based language,10
"then we\'d make note of it, and then we probably put in the other, because we have so many other problems in trying to get things to work well here that -",107790_0,note problems things work,58
"that, you know, it\'s not so bad as long as we - we note it and say, ""Look, we  did  do this""",107792_0,bad long note,58
"And so, ideally, what you\'d wanna do is you\'d wanna",107793_0,ideally wan wan,37
"""we\'re gonna build it for what we  think  are  the most  common  ones"", but  if  ",107802_0,build common,0
"Or is - I think - well, I kn- oh, well I know that",107816_0,kn,0
" So, without - without any licensing big deals, or anything like that",107838_1,licensing big deals,0
"Um, the - the stuff that we\'ve been working on with TIMIT, trying to get a,",107849_0,stuff working timit,62
"And again, when y- just to clarify, when you\'re talking about training up a net, you\'re talking about training up a net for a tandem",107853_0,clarify talking training net talking training net tandem,0
"Um, I - I haven\'t - I haven\'t decided on - on the initial thing",107862_0,decided initial thing,48
"Um, I mean, those listening to this will not have a picture either, so, um, I guess I\'m - I\'m not any worse off",107876_0,listening picture guess worse,44
" It sounds s- I - I get - I think I get the general idea of it, yeah",107879_1,sounds general idea yeah,29
"Oh, I\'m just - I\'m just, uh, transforming them from the, um, the standard TIMIT transcriptions into - into a nice long huge P_file to do training",107885_0,uh transforming standard timit transcriptions nice long huge file training,60
"I was just wondering because that test you\'re t- I - I think you\'re doing this test because you want to determine whether or not,",107899_0,wondering test test determine,36
" And I was - yeah, so I was just wondering if the fact that TIMIT - you\'re using the hand-labeled stuff from TIMIT might be - confuse the results that you get",107904_1,yeah wondering fact timit hand labeled stuff timit confuse,36
"I - I think it would, but - but on the other hand it might be better",107905_0,hand,0
"I mean, you know, I - I - I guess I\'m sounding cavalier, but I mean, I think",107909_0,guess sounding cavalier,0
" It would be another interesting scientific question to ask, ""Is it because it\'s a broad source or because it was, you know, carefully?"" uh",107915_1,interesting scientific question broad source carefully uh,0
"And that\'s something you could ask, but given limited time, I think the main thing is if it\'s a better thing for going across languages on this training tandem system, then it\'s probably -",107917_0,limited time main thing thing languages training tandem,11
"So we plan to develop a subset of the phonemes,",107939_0,plan develop subset phonemes,20
use a network with kind of one hundred outputs or something like that,107943_0,network kind outputs,31
"But n- for example, in Spain, the Spanish have several phone that d- doesn\'t appear in the E- English and we thought to complete",107954_0,spain spanish phone english thought complete,4
"But for that, it needs - we must r- h- do a lot of work  because we need to generate new tran- transcription for the database that we have",107955_0,lot work generate tran transcription database,59
" But I think,",107964_1,,0
"Yeah, and I think some of them, they were making distinctions between",107966_0,yeah making distinctions,3
I th- I think it was things like that that got it mapped down to fifty-six,107970_0,things mapped fifty,33
" You know, you\'re really asking this net to learn",107972_1,net learn,0
"And  the ones that are gone, I think are -",107976_0,,0
"I think there was - they also in TIMIT had like a glottal stop, which",107977_0,timit glottal,0
"Yeah, w- I th- I think that\'s a good idea to - to talk about the whole cube and maybe we could sections in the cube for people to work on",107991_0,yeah good idea talk cube sections cube people work,29
"So, then I think it\'s probably instructive to go and - and - and show you the features that we were talking about",108023_0,instructive features talking,0
"So there would be multi-band before, um - before  our  network, I mean",108037_0,multi band network,15
And then multi-band after networks,108044_0,multi band networks,52
" Meaning that we would have, uh, neural networks, uh, discriminant neural networks for each band",108044_1,meaning uh neural networks uh discriminant neural networks band,52
And using the - the outputs of these networks or the linear outputs or something like that,108046_0,outputs networks linear outputs,52
" I mean at least - at least conceptually, you know, it doesn\'t meant you actually have to do it, but conceptually it makes sense as a - as a base line",108059_1,conceptually meant conceptually sense base,0
just to do M_F_C_C with the neural net and everything else the same,108063_0,neural net,45
I think - I think Dan did some of that,108067_0,dan,0
 And with the net it\'s - it\'s wonderful,108069_1,net wonderful,0
"Um, I think O_G_I folks have been doing that, too",108070_0,folks,0
" D- Because I think that for a bunch of their experiments they used, uh, mel cepstra, actually",108070_1,bunch experiments uh mel cepstra,10
"I think that is more important, Mexican Spain",108103_0,mexican spain,0
"Yeah, Herve always insists that Belgian is - i- is absolutely pure French, has nothing to do with - but he says those - those - those Parisians talk funny",108105_0,yeah herve insists belgian absolutely pure french parisians talk funny,3
y- And I think Stephane was saying there\'s - there\'s some broader s- material in the French also?,108130_0,stephane broader material french,0
" And, um, with- within the training corporas um, we\'re, uh, thinking about, um, training with noise",108164_1,training corporas uh thinking training noise,6
"Um, I don\'t think we- we\'re given the, uh - the unseen noise conditions, though, right?",108166_0,uh unseen noise conditions,10
"I think what they were saying was that, um, for this next test there\'s gonna be some of the cases where they have the same type of noise as you were given before hand and some cases where you\'re not",108167_0,test cases type noise hand cases,0
"So, presumably, that\'ll be part of the topic of analysis of the - the test results, is how well you do when it\'s matching noise and how well you do where it\'s not",108172_0,topic analysis test matching noise,32
I think that\'s right,108174_0,,0
"But, but, uh, uh, exactly how well it will work will",108181_0,uh uh work,7
"Yeah, it\'s preparing",108204_0,yeah preparing,3
"uh, e- pre- they are preparing it, and, well, according to Hynek it will be - we will have this at the end of November, or -",108205_0,uh pre preparing hynek november,10
They are preparing,108206_0,preparing,0
"Yeah, so I guess the question is how long does it take to do a - a training? I mean, it\'s not totally",108230_0,yeah guess question long training totally,60
"But how - how long does it take, do we think, for one of these",108234_0,long,60
" I mean, cuz, so, for instance, I think the major advantage of M_S_G - Yeah, good point",108240_1,cuz instance major advantage yeah good point,54
"Uh, yeah, so P_L_P and M_S_G I think we definitely wanna try cuz we\'ve had a lot of good experience with putting those together",108262_0,uh yeah wan cuz lot good experience putting,37
"No, no, I\'m - I\'m just wondering about number of parameters in the net",108268_0,wondering number parameters net,36
"Uh, I don\'t  think  so",108270_0,uh,10
"Isn\'t there like a limit  on the computation load, or d- latency, or something like that for Aurora task?",108274_0,limit computation load latency aurora task,47
"And, u- uh, I think the computation isn\'t so much of a problem",108282_0,uh computation problem,68
I think it\'s more the memory,108283_0,memory,0
" But that last part, I think, is so - has gotta be pretty quick, so",108299_1,pretty quick,65
"One would  think  one net,",108312_0,net,0
but we\'ve - I don\'t think we\'ve  tested  that,108314_0,tested,0
"uh, then we can start working on testing of them individually, and in combination",108323_0,uh start working testing individually combination,63
"Because the putting them in combination, I think, is not as much computationally as the r- training of the nets in the first place",108325_0,putting combination computationally training nets place,0
"It\'s around six hours, I think",108340_0,hours,0
"Yeah, I- I think it\'s- it\'s- it\'s not so long because, well, the T_I-digits test data is about, uh",108363_0,yeah long digits test data uh,60
"Uh, th- uh, thirty hours of speech, I think, something like that",108365_0,uh uh thirty hours speech,7
"Right, so, I mean, clearly, there - there\'s no way we can even  begin  to do an- any significant amount here unless we use multiple machines",108370_0,multiple machines,0
Right? So - so - w- we - I mean there\'s plenty of machines here and they\'re n- they\'re often not in - in a great - great deal of use,108372_0,plenty machines great great deal,16
" So, I mean, I think it\'s -",108372_1,,0
"For Albayzin I trained on neural network, uh, was, um, one day also",108394_0,albayzin trained neural network uh day,45
I - I think  the neural net  SPERT,108398_0,neural net spert,45
And I think there - there - there\'s - I think you folks are probably go- the ones using them right now,108402_0,folks,0
"Is it faster to do it on the SPERT, or - ? ",108403_0,faster spert,0
that\'s - I think it\'s a great thing to  go  to,108432_0,great thing,11
on  top  of - just the - the - all the - all the work,108434_0,work,1
So what I like about this is you basically have listed all the things that we already know how to do,108436_0,basically listed things,33
a- a- Am I - am I interpreting this correctly? Is this sort of what - what you\'re thinking of doing in the short term?,108440_0,interpreting correctly sort thinking short term,19
"So - so then I think it\'s just the - the missing piece is that you need to, uh, you know - you know, talk to - talk to, uh, Chuck, talk to, uh, Adam,",108444_0,missing piece uh talk talk uh chuck talk uh adam,10
"And, uh, we can pull things out of this list that we think they are doing sufficiently, that, you know, we\'re not - we won\'t be contributing that much",108451_0,uh pull things list contributing,35
 D- I begin to work with the Italian database,108479_0,work italian database,1
"And I trained eh, with the Spanish two neural network with P_L_P and with LogRASTA P_L_P",108482_0,trained eh spanish neural network lograsta,45
"has the  potential  to do better, but it doesn\'t always",108486_0,potential,0
"So, it\'s sort of like the right transformation to do the filtering in, is dependent on how much  noise  there is",108492_0,sort transformation filtering dependent noise,19
"It\'s a little complicated because once you do that, you end up in some funny domain and you end up having to do a transformation afterwards, which requires some tables",108495_0,complicated funny domain transformation requires tables,0
"Um, and I think to - to -",108499_0,,0
"to recognize the Italian digits with the neural netw- Spanish neural network,",108500_0,recognize italian digits neural netw spanish neural network,45
"and also to train  another  neural network with the Spanish digits, the database of Spanish digits",108501_0,train neural network spanish digits database spanish digits,45
And I working that,108502_0,working,2
But prepa- to prepare the - the database are difficult,108504_0,prepa prepare database difficult,49
n- it was a difficult work last week,108506_0,difficult work week,50
"with the  labels   because the - the program with the  label   obtained that I have, the Albayzin, is different w- to the  label   to train the neural network",108507_0,labels program label albayzin label train neural network,45
"And   that is another work that we must to do, to - to  change ",108508_0,work change,1
"The Spanish labels? That was in different format, that the format for the em - the program to train the neural network",108516_0,spanish labels format format program train neural network,45
" I ask - e- even I ask to Dan Ellis what I can do that, and h- they - he say me that h- he does- doesn\'t any - any s- any form to - to do that",108526_1,dan ellis form,0
"And at the end, I think that with LabeCut I can transfer to  ASCII   format, and H_T_K is an  ASCII   format",108527_0,labecut transfer ascii format ascii format,0
"And then, um, if - if you work on getting the, uh, assembly lines together, and then the - the pieces sort of get ready to go into the assembly line and gradually can start, you know, start turning the crank, more or less",108538_0,work uh assembly lines pieces sort ready assembly gradually start start turning crank,63
"uh, we have a lot more computational capability here than they do at O_G_I, so I think that i- if -",108540_0,uh lot computational capability,59
"Um, I - I was thinking two things",108546_0,thinking things,33
" Uh, the first thing was, um - we - we actually had thought of this as sort of like, um - not - not in stages, ",108546_1,uh thing thought sort stages,19
"No, I\'m just saying, I\'m just thinking of it like loops, right? And so, y- y- y- if you had three nested loops, that you have a choice for this, a choice for this, and a choice for that, right? And you\'re going through them all",108551_0,thinking loops nested loops choice choice choice,6
"And, uh, the thing is that once you get a better handle on how much you can realistically do,",108555_0,uh thing handle realistically,11
"And, uh, I  still  think we could do a  lot  of them",108565_0,uh lot,59
"And I think you sent an email about, um, e- scratch space for - for people",108572_0,email scratch space people,56
to work on,108573_0,work,1
"working from an N_T machine, so his - his home directory exists somewhere else",108574_0,working machine directory exists,2
 My - th- I want to clarify my point about that - that - that Chuck repeated in his note,108577_1,clarify point chuck repeated note,58
"We\'re - over the next year or two, we\'re gonna be upgrading the networks in this place, but right now they\'re still all te- pretty much all ten megabit lines",108579_0,year upgrading networks place pretty megabit lines,65
you do - don\'t want to have the - the data that you\'re working on distant from where it\'s being - where the computation\'s being done if you can help it,108585_0,data working distant computation,46
"But the idea is that, uh, suppose you\'re working with, uh, this big bunch of multi- multilingual databases",108589_0,idea uh suppose working uh big bunch multi multilingual databases,29
"Then, when you\'re working with something and accessing it many times, you copy the piece of it that you\'re working with over to some place that\'s close to where the computation is and then do all the work there",108592_0,working accessing times copy piece working place close computation work,2
And then that way you - you won\'t have the - the network - you won\'t be clogging the network for yourself and others,108593_0,network clogging network,15
"I think four more, uh, thirty-six gigabyte drives",108599_0,uh thirty gigabyte drives,10
"It\'s Nutmeg and Mustard, I think, the -",108610_0,nutmeg mustard,0
"Yeah, I think, yeah",108616_0,yeah yeah,3
I think so,108617_0,,0
"and, uh, I think it\'s not that big a d- and the - the disks themselves are not that expensive",108637_0,uh big disks expensive,0
"But wasn\'t it, uh - I think Dave was saying that he preferred that people didn\'t",108641_0,uh dave preferred people,56
"O_K, if you don\'t have an N_T, but you have a - a - a Unix workstation,",108650_0,unix workstation,0
have to go to the network,108665_0,network,15
"Um, yeah, I - I just - an- another question occurred to me is - is what were you folks planning to do about normalization?",108698_0,yeah question occurred folks planning normalization,30
"Well, we were thinking about using this systematically for all the experiments",108701_0,thinking systematically experiments,6
"So that this could be another dimension, but we think perhaps we can use the - the best, uh, um, uh, normalization scheme as O_G_I is using, so, with",108706_0,dimension uh uh normalization scheme,7
"Yeah, I think that\'s a good idea",108708_0,yeah good idea,29
"it\'s - if we do anything else, we\'re gonna end up having to do on-line normalization too, so we may as well just do on-line normalization",108712_0,normalization normalization,0
"So, I guess, yeah, th- the other topic -",108719_0,guess yeah topic,32
"this information about how long i-  roughly  how long it takes to do on what and,",108732_0,long roughly long takes,60
"you know, what we can - how many of these trainings, uh, uh, and testings and so forth that we can realistically do,",108733_0,trainings uh uh testings realistically,7
"uh, for going up, and any- anything else you can think of would be - we should think about  accomplishing?",108740_0,uh accomplishing,10
"I mean, I\'m just saying this because  maybe there\'s things we need to do in preparation",108741_0,things preparation,33
" Oh , I think basically, this is - this is, uh, yeah",108742_0,basically uh yeah,3
And uh - and the other - the - the last topic I had here,108747_0,uh topic,32
" - he\'s working on other things,  but to - to do something on  this  project",108751_0,working things project,33
"Um, yeah, I was thinking perhaps if, um,",108753_0,yeah thinking,6
Which could be important in - i- for noise - noise -,108760_0,noise noise,0
